Date,Time Control,White,Black,White Rating,Black Rating,White Country,Black Country,Result,Did Jerry Win?,White Accuracy,Black Accuracy,Jerry Accuracy,Moves,Day_of_Week,Color_Played,Opponent Rating,Did Jerry Win numeric,Opponent Accuracy,Color_Played numeric
2023-12-04,3 min,BorskieUSA,Dizzyscar,1065,1051,United States,United States,Black,Win,54.6,65.2,65.2,64,Monday,Black,1065,1,54.6,-1
2023-12-04,3 min,Dizzyscar,James3505,1042,1017,United States,United States,Draw,Draw,83.3,83,83.3,53,Monday,White,1017,0,83,1
2023-12-04,3 min,Dizzyscar,Aint_No_Whey,1043,1070,United States,United States,White,Win,80.2,58.2,80.2,13,Monday,White,1070,1,58.2,1
2023-12-04,3 min,hanslimmbach,Dizzyscar,1055,1034,Germany,United States,White,Loss,74.1,54.8,54.8,14,Monday,Black,1055,0,74.1,-1
2023-12-04,3 min,Dizzyscar,david-jameschartrand,1042,1050,United States,Canada,White,Win,56.5,46.4,56.5,17,Monday,White,1050,1,46.4,1
2023-12-04,3 min,Dizzyscar,vikram9401,1033,1034,United States,United States,White,Win,73.1,67.2,73.1,49,Monday,White,1034,1,67.2,1
2023-12-04,3 min,awill9595,Dizzyscar,999,1025,United States,United States,White,Loss,81.4,75.7,75.7,77,Monday,Black,999,0,81.4,-1
2023-12-04,3 min,Cash-Me-Outsyde,Dizzyscar,934,1034,United States,United States,Black,Win,72.3,81.1,81.1,19,Monday,Black,934,1,72.3,-1
2023-12-04,3 min,Dizzyscar,Iam_Pentameter,1028,972,United States,United States,White,Win,76.8,74.8,76.8,40,Monday,White,972,1,74.8,1
2023-12-04,3 min,taylor_farrington,Dizzyscar,1031,1021,United States,United States,Black,Win,66.7,73.7,73.7,34,Monday,Black,1031,1,66.7,-1
2023-12-04,3 min,Dizzyscar,Bandit-the-cat,1012,994,United States,United States,White,Win,71.2,57.9,71.2,25,Monday,White,994,1,57.9,1
2023-12-02,3 min,Dizzyscar,AnzeO,1004,1060,United States,Slovenia,Black,Loss,61.2,73.6,61.2,26,Saturday,White,1060,0,73.6,1
2023-12-02,3 min,Senapsbert,Dizzyscar,972,1011,Sweden,United States,Black,Win,52.6,63.3,63.3,43,Saturday,Black,972,1,52.6,-1
2023-12-02,3 min,Dizzyscar,Alokjoshi21,1004,1014,United States,India,White,Win,84.4,70.3,84.4,36,Saturday,White,1014,1,70.3,1
2023-12-02,3 min,vmitch297,Dizzyscar,1081,995,Australia,United States,White,Loss,83,79.5,79.5,47,Saturday,Black,1081,0,83,-1
2023-12-02,3 min,Dizzyscar,vmitch297,1001,1075,United States,Australia,Black,Loss,42.7,54.9,42.7,24,Saturday,White,1075,0,54.9,1
2023-12-02,3 min,vmitch297,Dizzyscar,1068,1008,Australia,United States,White,Loss,65.8,60.3,60.3,33,Saturday,Black,1068,0,65.8,-1
2023-12-02,3 min,Dizzyscar,vmitch297,1015,1061,United States,Australia,White,Win,64,48.3,64,25,Saturday,White,1061,1,48.3,1
2023-12-02,3 min,aplesuzz,Dizzyscar,947,1006,Nicaragua,United States,Black,Win,48.4,64.8,64.8,31,Saturday,Black,947,1,48.4,-1
2023-12-02,3 min,Dizzyscar,laurastinderoni,999,954,United States,United States,Black,Loss,61.8,66.3,61.8,38,Saturday,White,954,0,66.3,1
2023-12-02,3 min,Hassankhazraee,Dizzyscar,1040,1008,International,United States,White,Loss,60.1,51.2,51.2,24,Saturday,Black,1040,0,60.1,-1
2023-12-02,3 min,binujacob,Dizzyscar,958,1016,India,United States,Black,Win,59.7,67.2,67.2,38,Saturday,Black,958,1,59.7,-1
2023-12-02,3 min,Dizzyscar,auria543211,1009,1026,United States,Israel,Black,Loss,73.6,76.6,73.6,42,Saturday,White,1026,0,76.6,1
2023-12-02,3 min,ramsyirani,Dizzyscar,993,1017,Belgium,United States,White,Loss,58.4,52.2,52.2,44,Saturday,Black,993,0,58.4,-1
2023-12-02,3 min,max_5047,Dizzyscar,1054,1026,International,United States,Black,Win,73.3,80.4,80.4,42,Saturday,Black,1054,1,73.3,-1
2023-12-02,3 min,Dizzyscar,CountTheBullets,1017,981,United States,Colombia,White,Win,77.6,56.1,77.6,23,Saturday,White,981,1,56.1,1
2023-11-30,3 min,IvanRatio2,Dizzyscar,1054,1009,Ukraine,United States,White,Loss,89.4,79.2,79.2,26,Thursday,Black,1054,0,89.4,-1
2023-11-30,3 min,Dizzyscar,hamburgooo,1016,1026,United States,Germany,White,Win,59.5,51.3,59.5,40,Thursday,White,1026,1,51.3,1
2023-11-30,3 min,hamburgooo,Dizzyscar,1035,1007,Germany,United States,Black,Win,65.8,77.3,77.3,28,Thursday,Black,1035,1,65.8,-1
2023-11-30,3 min,Dizzyscar,vewdoo,998,955,United States,England,White,Win,64.2,68.2,64.2,54,Thursday,White,955,1,68.2,1
2023-11-30,3 min,Dizzyscar,Z_Machine,991,999,United States,United States,Black,Loss,74.2,73.3,74.2,35,Thursday,White,999,0,73.3,1
2023-11-30,3 min,Dizzyscar,JMAedo,999,944,United States,Spain,White,Win,65,52,65,17,Thursday,White,944,1,52,1
2023-11-30,3 min,Oaktownoaks,Dizzyscar,1012,992,United States,United States,Black,Win,67.8,77.7,77.7,31,Thursday,Black,1012,1,67.8,-1
2023-11-30,3 min,archieboyqq,Dizzyscar,938,983,United States,United States,Black,Win,72.9,74.7,74.7,33,Thursday,Black,938,1,72.9,-1
2023-11-29,3 min,Dizzyscar,karan5222,976,962,United States,India,Black,Loss,64.9,72.7,64.9,48,Wednesday,White,962,0,72.7,1
2023-11-29,3 min,karan5222,Dizzyscar,953,985,India,United States,White,Loss,86.4,79.6,79.6,59,Wednesday,Black,953,0,86.4,-1
2023-11-29,3 min,Dizzyscar,karan5222,994,944,United States,India,White,Win,59.4,62.4,59.4,34,Wednesday,White,944,1,62.4,1
2023-11-29,3 min,Dizzyscar,ZaapChess,987,962,United States,Finland,Black,Loss,62.6,76,62.6,20,Wednesday,White,962,0,76,1
2023-11-29,3 min,Dizzyscar,JojoskiUwU,996,1015,United States,United States,Black,Loss,66.2,75.7,66.2,30,Wednesday,White,1015,0,75.7,1
2023-11-29,3 min,Slepoj,Dizzyscar,1012,1004,Ukraine,United States,Black,Win,64.2,62.2,62.2,36,Wednesday,Black,1012,1,64.2,-1
2023-11-29,3 min,Dobbie04,Dizzyscar,1024,995,Germany,United States,Black,Win,72.8,73.6,73.6,38,Wednesday,Black,1024,1,72.8,-1
2023-11-29,3 min,jayfeather965,Dizzyscar,1059,986,United States,United States,Black,Win,59.1,65.6,65.6,47,Wednesday,Black,1059,1,59.1,-1
2023-11-29,1 min,Dizzyscar,RaEv05,1150,1156,United States,Saudi Arabia,White,Win,64,67.4,64,37,Wednesday,White,1156,1,67.4,1
2023-11-29,1 min,jamiess09,Dizzyscar,1161,1141,Ireland,United States,Black,Win,58.6,61.1,61.1,47,Wednesday,Black,1161,1,58.6,-1
2023-11-29,1 min,Dizzyscar,jgmeiser,1132,1168,United States,United States,Black,Loss,50.1,50.5,50.1,51,Wednesday,White,1168,0,50.5,1
2023-11-29,1 min,jgmeiser,Dizzyscar,1160,1140,United States,United States,Draw,Draw,60.1,63.7,63.7,60,Wednesday,Black,1160,0,60.1,-1
2023-11-29,1 min,Dizzyscar,dailyblocks_app,1139,1033,United States,United States,White,Win,86,77.8,86,34,Wednesday,White,1033,1,77.8,1
2023-11-29,1 min,bhargav2880,Dizzyscar,1190,1133,India,United States,White,Loss,83.6,77.6,77.6,52,Wednesday,Black,1190,0,83.6,-1
2023-11-29,1 min,SrSt0mpy,Dizzyscar,1142,1140,United States,United States,White,Loss,83.7,75.6,75.6,27,Wednesday,Black,1142,0,83.7,-1
2023-11-29,1 min,Dizzyscar,MoshavnikNoamiKo,1148,1111,United States,Israel,White,Win,61.8,56.5,61.8,23,Wednesday,White,1111,1,56.5,1
2023-11-29,1 min,Dizzyscar,Sioneofa3,1140,1140,United States,United States,Black,Loss,59.1,64.9,59.1,18,Wednesday,White,1140,0,64.9,1
2023-11-29,1 min,Dizzyscar,turkialrubaya,1148,1229,United States,Saudi Arabia,Black,Loss,62.3,65.2,62.3,49,Wednesday,White,1229,0,65.2,1
2023-11-29,1 min,Majela59,Dizzyscar,1157,1154,Spain,United States,White,Loss,81,65,65,11,Wednesday,Black,1157,0,81,-1
2023-11-29,1 min,Dizzyscar,mbyoof,1162,1089,United States,United States,White,Win,68.5,67.2,68.5,27,Wednesday,White,1089,1,67.2,1
2023-11-29,3 min,ibnu_fadhil,Dizzyscar,938,976,Indonesia,United States,Black,Win,59.6,60.6,60.6,39,Wednesday,Black,938,1,59.6,-1
2023-11-29,3 min,Dizzyscar,ESP0,969,974,United States,Italy,White,Win,81.7,71.3,81.7,35,Wednesday,White,974,1,71.3,1
2023-11-29,1 min,turkialrubaya,Dizzyscar,1195,1155,Saudi Arabia,United States,Black,Win,58.5,65.5,65.5,37,Wednesday,Black,1195,1,58.5,-1
2023-11-29,1 min,swiz_meister,Dizzyscar,1062,1146,Australia,United States,Black,Win,79.6,87.5,87.5,50,Wednesday,Black,1062,1,79.6,-1
2023-11-29,1 min,Dizzyscar,FaBiAn43,1140,1140,United States,Ecuador,Black,Loss,66.5,73.3,66.5,48,Wednesday,White,1140,0,73.3,1
2023-11-29,3 min,ElGuason10,Dizzyscar,1015,961,Puerto Rico,United States,Black,Win,48.3,58,58,35,Wednesday,Black,1015,1,48.3,-1
2023-11-29,1 min,Dizzyscar,Raghavvv,1148,1179,United States,India,White,Win,77.1,83.2,77.1,51,Wednesday,White,1179,1,83.2,1
2023-11-29,3 min,Dizzyscar,hhand04,951,924,United States,United Kingdom,White,Win,87.5,72.8,87.5,33,Wednesday,White,924,1,72.8,1
2023-11-29,3 min,bozerytoes,Dizzyscar,864,943,United States,United States,White,Loss,81.3,73.3,73.3,21,Wednesday,Black,864,0,81.3,-1
2023-11-29,3 min,OhNoForked,Dizzyscar,977,953,United States,United States,White,Loss,100,66.3,66.3,7,Wednesday,Black,977,0,100,-1
2023-11-29,1 min,Dizzyscar,a230253,1139,1102,United States,Hong Kong,White,Win,72,78.6,72,33,Wednesday,White,1102,1,78.6,1
2023-11-29,1 min,Dizzyscar,rednoserudolphpoo,1131,1165,United States,United States,Black,Loss,61.2,59,61.2,39,Wednesday,White,1165,0,59,1
2023-11-29,1 min,Filiprc,Dizzyscar,1151,1139,Croatia,United States,White,Loss,78.6,70.4,70.4,17,Wednesday,Black,1151,0,78.6,-1
2023-11-29,3 min,Dizzyscar,LyokosSchach,961,950,United States,Switzerland,Black,Loss,52.4,75.2,52.4,18,Wednesday,White,950,0,75.2,1
2023-11-28,1 min,adolfchees,Dizzyscar,1167,1147,Indonesia,United States,White,Loss,56.6,52.3,52.3,41,Tuesday,Black,1167,0,56.6,-1
2023-11-28,1 min,Dizzyscar,Milomilomilomilo,1155,1126,United States,Norway,Black,Loss,67.4,76.1,67.4,43,Tuesday,White,1126,0,76.1,1
2023-11-28,1 min,JamesUnsi,Dizzyscar,1127,1158,United States,United States,Black,Win,71.5,83.6,83.6,21,Tuesday,Black,1127,1,71.5,-1
2023-11-28,1 min,Cmo77,Dizzyscar,1108,1150,United States,United States,Black,Win,74.3,71.6,71.6,51,Tuesday,Black,1108,1,74.3,-1
2023-11-28,1 min,Dizzyscar,Peave0807,1143,1140,United States,United Kingdom,Black,Loss,77.5,87.1,77.5,55,Tuesday,White,1140,0,87.1,1
2023-11-28,1 min,amayp,Dizzyscar,1055,1151,United States,United States,Black,Win,57.4,73,73,10,Tuesday,Black,1055,1,57.4,-1
2023-11-28,1 min,Dizzyscar,DenzilN,1145,1109,United States,South Africa,White,Win,59.9,62.2,59.9,36,Tuesday,White,1109,1,62.2,1
2023-11-28,1 min,danielpehn,Dizzyscar,1109,1138,Austria,United States,Black,Win,68.2,74.5,74.5,38,Tuesday,Black,1109,1,68.2,-1
2023-11-28,1 min,Dizzyscar,mattmatt03,1130,1103,United States,Canada,White,Win,51.6,51.6,51.6,32,Tuesday,White,1103,1,51.6,1
2023-11-28,1 min,Zmt2021,Dizzyscar,1152,1122,United States,United States,Black,Win,63.8,56.7,56.7,49,Tuesday,Black,1152,1,63.8,-1
2023-11-28,1 min,Dizzyscar,amayp,1113,1100,United States,United States,Black,Loss,56.4,67.1,56.4,39,Tuesday,White,1100,0,67.1,1
2023-11-28,1 min,AZska,Dizzyscar,1152,1122,Poland,United States,Black,Win,72,68.4,68.4,40,Tuesday,Black,1152,1,72,-1
2023-11-28,1 min,Dizzyscar,Dnzyntr,1113,1115,United States,Türkiye,Black,Loss,17.9,31.4,17.9,27,Tuesday,White,1115,0,31.4,1
2023-11-28,1 min,ophthalmoscope,Dizzyscar,1036,1121,Canada,United States,White,Loss,84.4,72.7,72.7,27,Tuesday,Black,1036,0,84.4,-1
2023-11-28,1 min,Dizzyscar,musicandmaths,1131,1193,United States,Wales,Black,Loss,64.8,77.7,64.8,19,Tuesday,White,1193,0,77.7,1
2023-11-27,1 min,Mitvailer,Dizzyscar,1148,1138,France,United States,White,Loss,89.7,72.6,72.6,12,Monday,Black,1148,0,89.7,-1
2023-11-27,1 min,Dizzyscar,mrstaubsauger,1146,1121,United States,Germany,Black,Loss,56.3,55.7,56.3,13,Monday,White,1121,0,55.7,1
2023-11-27,1 min,LastOneForreal,Dizzyscar,1144,1155,Georgia,United States,Black,Win,56.2,58,58,51,Monday,Black,1144,1,56.2,-1
2023-11-27,1 min,Dizzyscar,Nazim_2000,1147,1137,United States,Algeria,Black,Loss,63.6,78.6,63.6,33,Monday,White,1137,0,78.6,1
2023-11-27,1 min,sexas7777,Dizzyscar,1159,1156,Azerbaijan,United States,Draw,Draw,65.2,71.1,71.1,54,Monday,Black,1159,0,65.2,-1
2023-11-27,1 min,Dizzyscar,daniboy68,1156,1071,United States,Hungary,Black,Loss,60.7,71.5,60.7,15,Monday,White,1071,0,71.5,1
2023-11-27,1 min,MNDreams,Dizzyscar,1161,1166,United States,United States,Black,Win,46.6,48,48,35,Monday,Black,1161,1,46.6,-1
2023-11-27,1 min,Dizzyscar,Tyskie_PL,1158,1157,United States,Germany,Black,Loss,65,80,65,15,Monday,White,1157,0,80,1
2023-11-27,1 min,1YuriSato1,Dizzyscar,1242,1166,Canada,United States,Black,Win,47.9,42.3,42.3,36,Monday,Black,1242,1,47.9,-1
2023-11-27,1 min,Jeeperchess,Dizzyscar,1149,1156,United Arab Emirates,United States,Black,Win,74.6,84.4,84.4,43,Monday,Black,1149,1,74.6,-1
2023-11-27,1 min,Dizzyscar,Kermit_DaFrogg,1148,1069,United States,Philippines,Black,Loss,57.8,68.8,57.8,17,Monday,White,1069,0,68.8,1
2023-11-27,1 min,vitops3,Dizzyscar,1132,1158,Kenya,United States,Draw,Draw,74.3,73.8,73.8,51,Monday,Black,1132,0,74.3,-1
2023-11-27,1 min,Dizzyscar,longjohns455,1159,1215,United States,Chad,Black,Loss,61.3,73.2,61.3,39,Monday,White,1215,0,73.2,1
2023-11-27,1 min,Shoveldude,Dizzyscar,1060,1166,United States,United States,Black,Win,57.9,57.3,57.3,42,Monday,Black,1060,1,57.9,-1
2023-11-27,1 min,Dizzyscar,DOLPHY420,1160,1136,United States,United States,Draw,Draw,75.2,76,75.2,58,Monday,White,1136,0,76,1
2023-11-27,1 min,Dizzyscar,NiteshJindal7787,1161,1225,United States,India,Black,Loss,37.2,65.9,37.2,5,Monday,White,1225,0,65.9,1
2023-11-27,1 min,DylanG12345,Dizzyscar,1146,1168,Ireland,United States,Draw,Draw,68.8,60.7,60.7,58,Monday,Black,1146,0,68.8,-1
2023-11-27,1 min,askarov777,Dizzyscar,1192,1169,Kazakhstan,United States,White,Loss,79.3,70.9,70.9,21,Monday,Black,1192,0,79.3,-1
2023-11-27,10 min,iminyourhous,Dizzyscar,461,1075,United States,United States,Black,Win,58.1,74.7,74.7,20,Monday,Black,461,1,58.1,-1
2023-11-26,1 min,mortiero,Dizzyscar,1175,1177,Switzerland,United States,Black,Win,75.8,83.7,83.7,48,Sunday,Black,1175,1,75.8,-1
2023-11-26,1 min,Dizzyscar,StuBook,1169,1213,United States,United Kingdom,Draw,Draw,77,77.4,77,55,Sunday,White,1213,0,77.4,1
2023-11-26,1 min,Dizzyscar,d_k_69,1168,1146,United States,Ghana,White,Win,97.5,70.3,97.5,7,Sunday,White,1146,1,70.3,1
2023-11-26,1 min,Dizzyscar,FePiske,1160,1112,United States,Brazil,Black,Loss,39.9,52.2,39.9,32,Sunday,White,1112,0,52.2,1
2023-11-26,1 min,azaaazZO,Dizzyscar,1141,1170,Norway,United States,White,Loss,44.2,29.8,29.8,26,Sunday,Black,1141,0,44.2,-1
2023-11-26,1 min,Dizzyscar,hootie7159,1179,1140,United States,United States,White,Win,48.8,47.4,48.8,37,Sunday,White,1140,1,47.4,1
2023-11-26,1 min,Dizzyscar,u_d_o_n,1172,1149,United States,Malaysia,White,Win,61,59.4,61,40,Sunday,White,1149,1,59.4,1
2023-11-26,1 min,123edr5,Dizzyscar,1174,1164,United States,United States,White,Loss,87.5,74.2,74.2,15,Sunday,Black,1174,0,87.5,-1
2023-11-26,1 min,jgmeiser,Dizzyscar,1148,1172,United States,United States,Black,Win,49.4,41.3,41.3,42,Sunday,Black,1148,1,49.4,-1
2023-11-26,1 min,Dizzyscar,JohnMcGuirk,1164,1188,United States,United States,White,Win,67.7,64.6,67.7,25,Sunday,White,1188,1,64.6,1
2023-11-26,1 min,Hetzshotto,Dizzyscar,1247,1155,Germany,United States,White,Loss,68.2,55.8,55.8,35,Sunday,Black,1247,0,68.2,-1
2023-11-26,1 min,Amayzin,Dizzyscar,1126,1161,United States,United States,Black,Win,61.1,70.5,70.5,36,Sunday,Black,1126,1,61.1,-1
2023-11-26,1 min,Dizzyscar,samisd89,1153,1213,United States,Saudi Arabia,Black,Loss,61.4,78.6,61.4,9,Sunday,White,1213,0,78.6,1
2023-11-26,1 min,Novice_Savant,Dizzyscar,1183,1160,United States,United States,White,Loss,93.5,79.2,79.2,25,Sunday,Black,1183,0,93.5,-1
2023-11-26,1 min,PAPADESTEN,Dizzyscar,1218,1168,France,United States,White,Loss,81.2,70.5,70.5,20,Sunday,Black,1218,0,81.2,-1
2023-11-26,1 min,Dizzyscar,ulysse32,1175,1118,United States,France,White,Win,79.7,71.2,79.7,39,Sunday,White,1118,1,71.2,1
2023-11-26,1 min,Dizzyscar,NoRm4nD,1168,1184,United States,Brazil,White,Win,56.6,55.7,56.6,21,Sunday,White,1184,1,55.7,1
2023-11-26,1 min,Dizzyscar,lucafdavis,1159,1175,United States,United Kingdom,Black,Loss,64.8,71.7,64.8,36,Sunday,White,1175,0,71.7,1
2023-11-26,1 min,jregz17,Dizzyscar,1187,1167,United States,United States,White,Loss,82.2,73.9,73.9,34,Sunday,Black,1187,0,82.2,-1
2023-11-26,1 min,Dizzyscar,bardurn,1175,1179,United States,Faroe Islands,Black,Loss,46.5,57.6,46.5,26,Sunday,White,1179,0,57.6,1
2023-11-26,1 min,wilob,Dizzyscar,1162,1183,Netherlands,United States,Black,Win,68.1,54.5,54.5,31,Sunday,Black,1162,1,68.1,-1
2023-11-26,1 min,akairokez,Dizzyscar,1248,1175,France,United States,White,Loss,86.3,64.3,64.3,16,Sunday,Black,1248,0,86.3,-1
2023-11-26,1 min,Dizzyscar,hvcqdrukqs,1182,1162,United States,International,Black,Loss,58.1,71.2,58.1,32,Sunday,White,1162,0,71.2,1
2023-11-26,1 min,Dizzyscar,ZbieraczDusz,1191,1228,United States,Germany,Black,Loss,60.1,76,60.1,21,Sunday,White,1228,0,76,1
2023-11-26,1 min,playerslayer78,Dizzyscar,1153,1198,Slovakia,United States,Black,Win,55,44.7,44.7,42,Sunday,Black,1153,1,55,-1
2023-11-26,1 min,feetchy,Dizzyscar,1195,1191,United States,United States,Black,Win,52.9,58.9,58.9,34,Sunday,Black,1195,1,52.9,-1
2023-11-26,1 min,Dizzyscar,Garthed,1183,1205,United States,France,Black,Loss,63.1,74.9,63.1,28,Sunday,White,1205,0,74.9,1
2023-11-26,1 min,Dizzyscar,PAPADESTEN,1191,1195,United States,France,White,Win,72.8,74,72.8,35,Sunday,White,1195,1,74,1
2023-11-26,1 min,420FR35HM4N,Dizzyscar,1239,1182,Bhutan,United States,White,Loss,87.4,65.5,65.5,20,Sunday,Black,1239,0,87.4,-1
2023-11-26,1 min,blaineh24,Dizzyscar,1175,1189,United States,United States,White,Loss,68.1,59.6,59.6,22,Sunday,Black,1175,0,68.1,-1
2023-11-26,1 min,Dizzyscar,rjm541,1198,1173,United States,United States,White,Win,78.6,70.1,78.6,33,Sunday,White,1173,1,70.1,1
2023-11-26,1 min,ATVULNAU,Dizzyscar,1200,1190,Romania,United States,White,Loss,67.5,56.9,56.9,31,Sunday,Black,1200,0,67.5,-1
2023-11-26,1 min,Dizzyscar,AdamIsYO,1198,1212,United States,United States,Black,Loss,69.3,76.2,69.3,55,Sunday,White,1212,0,76.2,1
2023-11-26,1 min,Dizzyscar,PokerNChess1,1206,1251,United States,Mexico,Black,Loss,66.8,86.7,66.8,20,Sunday,White,1251,0,86.7,1
2023-11-26,1 min,NoHonorPlayer,Dizzyscar,1195,1213,Poland,United States,Black,Win,69,72,72,23,Sunday,Black,1195,1,69,-1
2023-11-26,1 min,mathdude67,Dizzyscar,1190,1205,United States,United States,Draw,Draw,74.5,70,70,53,Sunday,Black,1190,0,74.5,-1
2023-11-26,1 min,Dizzyscar,Yourmomfavoriteson,1205,1239,United States,Canada,Black,Loss,66.4,74.4,66.4,38,Sunday,White,1239,0,74.4,1
2023-11-26,1 min,Dizzyscar,cee_dogg,1213,1243,United States,Australia,Black,Loss,64.2,84.8,64.2,15,Sunday,White,1243,0,84.8,1
2023-11-26,1 min,maufrich,Dizzyscar,1201,1221,Norway,United States,Black,Win,55.6,65.4,65.4,27,Sunday,Black,1201,1,55.6,-1
2023-11-26,1 min,mrirdinary,Dizzyscar,1218,1213,United States,United States,Draw,Draw,79.5,72.7,72.7,57,Sunday,Black,1218,0,79.5,-1
2023-11-26,1 min,Boris713,Dizzyscar,1151,1213,United States,United States,Black,Win,79.3,78.1,78.1,19,Sunday,Black,1151,1,79.3,-1
2023-11-26,1 min,Dizzyscar,davewebbav,1206,1189,United States,United States,Black,Loss,65.4,68.9,65.4,43,Sunday,White,1189,0,68.9,1
2023-11-26,1 min,alioktay,Dizzyscar,1321,1215,Türkiye,United States,White,Loss,80.2,71.8,71.8,64,Sunday,Black,1321,0,80.2,-1
2023-11-26,1 min,Dizzyscar,khurramhshah,1222,1256,United States,United States,Black,Loss,72.7,69,72.7,37,Sunday,White,1256,0,69,1
2023-11-25,1 min,Dizzyscar,crisc2,1230,1209,United States,Mexico,Black,Loss,71.9,88.3,71.9,26,Saturday,White,1209,0,88.3,1
2023-11-25,1 min,wopwop777,Dizzyscar,1248,1239,Philippines,United States,White,Loss,90.3,77.3,77.3,39,Saturday,Black,1248,0,90.3,-1
2023-11-25,1 min,Dizzyscar,sundew_ii,1247,1258,United States,Bolivia,Draw,Draw,68.8,68.6,68.8,46,Saturday,White,1258,0,68.6,1
2023-11-25,1 min,Dizzyscar,Sysephus,1247,1319,United States,United States,Black,Loss,80.1,89.7,80.1,30,Saturday,White,1319,0,89.7,1
2023-11-25,1 min,IcsanyI,Dizzyscar,1229,1254,Netherlands,United States,Black,Win,66,73.2,73.2,34,Saturday,Black,1229,1,66,-1
2023-11-25,1 min,abhishek123desai,Dizzyscar,1265,1246,India,United States,Draw,Draw,86.2,73.9,73.9,46,Saturday,Black,1265,0,86.2,-1
2023-11-25,1 min,Dizzyscar,IcsanyI,1246,1229,United States,Netherlands,White,Win,65.9,61.5,65.9,27,Saturday,White,1229,1,61.5,1
2023-11-25,1 min,xaviervasquez,Dizzyscar,1243,1238,United States,United States,Black,Win,61,55,55,36,Saturday,Black,1243,1,61,-1
2023-11-25,1 min,inertia202,Dizzyscar,1225,1230,United States,United States,White,Loss,67.4,71.3,71.3,42,Saturday,Black,1225,0,67.4,-1
2023-11-25,1 min,Dizzyscar,noahjacobson,1239,1233,United States,United States,White,Win,76.8,65.4,76.8,29,Saturday,White,1233,1,65.4,1
2023-11-25,1 min,Dizzyscar,You-ShallNotPass,1231,1263,United States,France,White,Win,80.2,82.8,80.2,35,Saturday,White,1263,1,82.8,1
2023-11-25,3 min,Jfrank05,Dizzyscar,981,970,United States,United States,White,Loss,86.2,79.7,79.7,29,Saturday,Black,981,0,86.2,-1
2023-11-25,3 min,Dizzyscar,yourself123abc,978,1006,United States,Canada,Draw,Draw,66.7,69.6,66.7,92,Saturday,White,1006,0,69.6,1
2023-11-25,3 min,Wolfgang_MH,Dizzyscar,973,977,Belgium,United States,White,Loss,49.7,49.3,49.3,26,Saturday,Black,973,0,49.7,-1
2023-11-25,3 min,Dizzyscar,Mesiiiiu1,985,1066,United States,United States,Black,Loss,70.8,84.4,70.8,28,Saturday,White,1066,0,84.4,1
2023-11-25,3 min,dennisschroderfan,Dizzyscar,1016,991,United States,United States,White,Loss,79.7,72.1,72.1,31,Saturday,Black,1016,0,79.7,-1
2023-11-25,3 min,tiffistall123,Dizzyscar,1030,999,United States,United States,Black,Win,64.4,62.5,62.5,37,Saturday,Black,1030,1,64.4,-1
2023-11-25,3 min,Dizzyscar,NeverLandey-TTV,990,922,United States,United States,White,Win,87.5,79.1,87.5,21,Saturday,White,922,1,79.1,1
2023-11-25,3 min,blundererrrr,Dizzyscar,970,983,United States,United States,White,Loss,95.4,66.5,66.5,11,Saturday,Black,970,0,95.4,-1
2023-11-24,1 min,Dizzyscar,czynm,1222,1284,United States,Türkiye,White,Win,74.7,64.4,74.7,27,Friday,White,1284,1,64.4,1
2023-11-24,1 min,V_A_N_S_H_J_A_I_N,Dizzyscar,1163,1212,India,United States,Black,Win,71,82.4,82.4,45,Friday,Black,1163,1,71,-1
2023-11-24,1 min,Dizzyscar,x1t47s52,1205,1195,United States,United States,Black,Loss,29.5,71.2,29.5,11,Friday,White,1195,0,71.2,1
2023-11-24,1 min,ThaerJoseph,Dizzyscar,1245,1214,United States,United States,Black,Win,76.7,72,72,32,Friday,Black,1245,1,76.7,-1
2023-11-24,1 min,Dizzyscar,LanziLo,1205,1231,United States,Argentina,Black,Loss,66.3,75.7,66.3,43,Friday,White,1231,0,75.7,1
2023-11-24,1 min,WaRpiG_247,Dizzyscar,1209,1213,United States,United States,Black,Win,77.6,68.4,68.4,38,Friday,Black,1209,1,77.6,-1
2023-11-23,1 min,Dizzyscar,ahndoong,1205,1178,United States,South Korea,Black,Loss,58.6,63.6,58.6,47,Thursday,White,1178,0,63.6,1
2023-11-23,1 min,lakkk17,Dizzyscar,1252,1214,Sri Lanka,United States,White,Loss,43.9,50,50,49,Thursday,Black,1252,0,43.9,-1
2023-11-23,1 min,Dizzyscar,SashilD,1221,1196,United States,India,White,Win,66.5,73.7,66.5,54,Thursday,White,1196,1,73.7,1
2023-11-23,1 min,Youareawizardhenry,Dizzyscar,1192,1213,United States,United States,Black,Win,66.1,77.9,77.9,18,Thursday,Black,1192,1,66.1,-1
2023-11-23,1 min,SecretCareer,Dizzyscar,1177,1205,United States,United States,White,Loss,71.7,53.2,53.2,23,Thursday,Black,1177,0,71.7,-1
2023-11-23,1 min,DKBAAZ,Dizzyscar,1183,1214,India,United States,Black,Win,71.9,57.7,57.7,35,Thursday,Black,1183,1,71.9,-1
2023-11-23,1 min,Dizzyscar,Cimei292,1206,1290,United States,European Union,Draw,Draw,77.7,82.8,77.7,55,Thursday,White,1290,0,82.8,1
2023-11-23,1 min,Dizzyscar,NELZ2022,1204,1201,United States,Philippines,White,Win,73.3,75.5,73.3,26,Thursday,White,1201,1,75.5,1
